Player,Depth,Heuristic,Total Plays,Total Time,Total Leaves,Total Cuts,Won
1,2,side,34,0.2955801486968994,5460,1556,1
2,2,side,33,0.23720145225524902,3916,445,0

1,2,side,33,0.23317599296569824,4096,1157,1
2,2,center,32,0.2579343318939209,8183,425,0

1,2,center,27,0.1554698944091797,2466,605,1
2,2,subtraction,26,0.13076281547546387,1154,325,0

1,2,center,49,0.49515366554260254,6181,1524,0
2,2,num_pieces,49,0.268887996673584,2509,821,1

1,2,center,36,0.3025381565093994,6261,748,1
2,2,side,35,0.23081731796264648,2794,537,0

1,2,center,35,0.24799489974975586,4878,887,1
2,2,center,34,0.2929568290710449,9623,496,0

1,2,subtraction,20,0.17119884490966797,978,363,0
2,3,subtraction,20,0.4943571090698242,25753,476,1

1,2,subtraction,20,0.1720137596130371,935,368,0
2,3,num_pieces,20,0.3898444175720215,19870,359,1

1,2,subtraction,29,0.2036912441253662,1609,443,0
2,3,side,29,1.213270902633667,43057,1295,1

1,2,subtraction,21,0.17916131019592285,962,374,0
2,3,center,21,0.8788003921508789,21287,874,1

1,2,num_pieces,31,0.2557106018066406,1489,582,0
2,3,subtraction,31,1.7692687511444092,110392,1058,1

1,2,num_pieces,37,0.6615767478942871,2576,1353,0
2,3,num_pieces,37,1.4245009422302246,74003,1059,1

1,2,num_pieces,36,0.32924342155456543,2248,686,0
2,3,side,36,2.2842764854431152,68489,2616,1

1,2,num_pieces,62,0.9760560989379883,4041,1846,0
2,3,center,62,6.916571855545044,143187,5731,1

1,2,side,25,0.24538064002990723,2110,451,0
2,3,subtraction,25,0.7294974327087402,46111,715,1

1,2,side,25,0.2425546646118164,2115,454,0
2,3,num_pieces,25,0.66658616065979,36770,534,1

1,2,side,27,0.24338507652282715,1305,481,0
2,3,side,27,1.3151445388793945,43284,1243,1

1,2,side,23,0.21361804008483887,1933,406,0
2,3,center,23,0.9345593452453613,23761,924,1

1,2,center,21,0.18351173400878906,2631,340,0
2,3,subtraction,21,0.5732731819152832,23498,582,1

1,2,center,22,0.19994711875915527,2722,379,0
2,3,num_pieces,22,0.39693140983581543,20659,325,1

1,2,center,30,0.28124499320983887,4628,508,0
2,3,side,30,1.1746671199798584,39444,1213,1

